평균 심박수,93
-0.278498,
-0.258772,
-0.237746,
-0.217635,
-0.200461,
-0.187504,
-0.179038,
-0.174449,
-0.172695,
-0.172796,
-0.174023,
-0.175895,
-0.178187,
-0.180825,
-0.183569,
-0.185696,
-0.186172,
-0.184169,
-0.179384,
-0.172023,
-0.162679,
-0.152352,
-0.142388,
-0.133935,
-0.127387,
-0.122365,
-0.118157,
-0.114162,
-0.110114,
-0.106206,
-0.103153,
-0.101873,
-0.102989,
-0.106491,
-0.111684,
-0.117288,
-0.121625,
-0.123024,
-0.120411,
-0.113667,
-0.103361,
-0.090342,
-0.075676,
-0.060842,
-0.047645,
-0.037618,
-0.031571,
-0.029561,
-0.030843,
-0.033755,
-0.036085,
-0.035886,
-0.032076,
-0.024505,
-0.01379,
-0.001301,
0.011088,
0.021718,
0.029894,
0.035963,
0.040887,
0.045775,
0.051587,
0.058821,
0.067217,
0.075682,
0.082518,
0.086078,
0.08552,
0.081059,
0.073811,
0.065554,
0.058269,
0.053457,
0.051437,
0.051264,
0.051196,
0.049239,
0.043693,
0.033838,
0.020448,
0.005621,
-0.008073,
-0.018431,
-0.024099,
-0.024909,
-0.021944,
-0.017025,
-0.011838,
-0.007263,
-0.003262,
0.000896,
0.006361,
0.014198,
0.024715,
0.037175,
0.050033,
0.061388,
0.06946,
0.073036,
0.072009,
0.067544,
0.061658,
0.056464,
0.053565,
0.053965,
0.058156,
0.066169,
0.077727,
0.092112,
0.108536,
0.129082,
0.154634,
0.186371,
0.225642,
0.273474,
0.329943,
0.393657,
0.461463,
0.528329,
0.587541,
0.682821,
0.767623,
0.777132,
0.731337,
0.637042,
0.481028,
0.396675,
0.244913,
0.15897,
0.134322,
0.102721,
0.120007,
0.109765,
0.107474,
0.108243,
0.108478,
0.106143,
0.10036,
0.091145,
0.079252,
0.065871,
0.052305,
0.039863,
0.029748,
0.022871,
0.019769,
0.020558,
0.024722,
0.030838,
0.036652,
0.039738,
0.038385,
0.032078,
0.021594,
0.008896,
-0.003303,
-0.012292,
-0.016014,
-0.013457,
-0.004776,
0.008586,
0.024056,
0.038595,
0.049519,
0.055095,
0.054747,
0.049049,
0.039905,
0.031028,
0.023349,
0.018654,
0.017645,
0.019923,
0.02439,
0.02976,
0.034858,
0.038847,
0.041494,
0.043148,
0.044381,
0.045705,
0.047596,
0.050555,
0.054977,
0.061046,
0.068813,
0.078091,
0.088131,
0.097589,
0.105063,
0.109671,
0.111145,
0.109768,
0.106423,
0.102521,
0.099549,
0.098644,
0.100364,
0.104498,
0.110035,
0.115595,
0.120142,
0.123389,
0.125622,
0.127357,
0.129224,
0.132006,
0.136579,
0.143678,
0.153584,
0.165902,
0.17955,
0.192986,
0.204595,
0.213105,
0.217878,
0.218969,
0.217062,
0.21326,
0.208979,
0.205694,
0.204479,
0.205694,
0.209027,
0.213783,
0.219112,
0.224141,
0.22808,
0.230356,
0.230728,
0.229407,
0.226993,
0.224294,
0.222134,
0.221144,
0.22155,
0.222977,
0.224436,
0.224624,
0.22231,
0.216571,
0.206986,
0.193746,
0.177455,
0.158812,
0.13842,
0.116908,
0.095168,
0.074401,
0.056136,
0.042105,
0.033704,
0.031369,
0.03423,
0.040356,
0.047294,
0.052543,
0.054068,
0.050891,
0.043419,
0.033315,
0.02287,
0.014161,
0.008444,
0.005914,
0.005765,
0.006677,
0.007528,
0.007894,
0.007946,
0.007952,
0.008025,
0.008264,
0.008827,
0.009795,
0.011049,
0.012348,
0.013549,
0.014596,
0.015447,
0.016127,
0.016809,
0.017775,
0.019177,
0.020845,
0.02227,
0.022676,
0.021109,
0.016566,
0.008288,
-0.003807,
-0.018952,
-0.035928,
-0.053557,
-0.070783,
-0.08661,
-0.100293,
-0.11155,
-0.12027,
-0.126003,
-0.128053,
-0.126136,
-0.120671,
-0.112487,
-0.102538,
-0.091976,
-0.082024,
-0.073375,
-0.065946,
-0.058569,
-0.050214,
-0.041874,
-0.033431,
-0.025131,
-0.017716,
-0.012048,
-0.008492,
-0.006701,
-0.005851,
-0.004935,
-0.002964,
0.000822,
0.006799,
0.014908,
0.0247,
0.035458,
0.046357,
0.056589,
0.065431,
0.072246,
0.076457,
0.077491,
0.074841,
0.068274,
0.058056,
0.045072,
0.030777,
0.016954,
0.005268,
-0.003147,
-0.007984,
-0.009719,
-0.00931,
-0.007861,
-0.006326,
-0.005297,
-0.004964,
-0.005227,
-0.005814,
-0.00637,
-0.006644,
-0.006676,
-0.0067,
-0.006898,
-0.007265,
-0.007606,
-0.007594,
-0.006882,
-0.005275,
-0.002786,
0.00048,
0.004266,
0.007922,
0.010411,
0.010721,
0.008263,
0.002952,
-0.004843,
-0.01437,
-0.024642,
-0.034656,
-0.04347,
-0.050126,
-0.053834,
-0.054347,
-0.052092,
-0.047779,
-0.041975,
-0.034952,
-0.026594,
-0.016424,
-0.004012,
0.010667,
0.027283,
0.045361,
0.064205,
0.082737,
0.09966,
0.113837,
0.12459,
0.131834,
0.136131,
0.138609,
0.140668,
0.143588,
0.14825,
0.154991,
0.163562,
0.173146,
0.182563,
0.190582,
0.196302,
0.199478,
0.200511,
0.200139,
0.199068,
0.197737,
0.196116,
0.193619,
0.189342,
0.18243,
0.172383,
0.159262,
0.14369,
0.126756,
0.109992,
0.095355,
0.08492,
0.080272,
0.08209,
0.090137,
0.103246,
0.119346,
0.135927,
0.150794,
0.162559,
0.170644,
0.175056,
0.176066,
0.173903,
0.168684,
0.160745,
0.150983,
0.140688,
0.13115,
0.123418,
0.118324,
0.116551,
0.118695,
0.125404,
0.137475,
0.155928,
0.182137,
0.217786,
0.264436,
0.322686,
0.391209,
0.466176,
0.541383,
0.639147,
0.714454,
0.808592,
0.825145,
0.783133,
0.689251,
0.513286,
0.419358,
0.29292,
0.156462,
0.112183,
0.057984,
0.049874,
0.020141,
0.002722,
-0.005574,
-0.007478,
-0.005018,
0.000197,
0.006834,
0.014003,
0.021261,
0.028309,
0.034819,
0.040518,
0.045217,
0.0487,
0.050804,
0.051663,
0.051831,
0.052086,
0.053094,
0.055211,
0.058392,
0.062029,
0.064928,
0.065656,
0.063032,
0.056046,
0.045909,
0.033615,
0.020538,
0.00815,
-0.002183,
-0.00937,
-0.012727,
-0.012269,
-0.008856,
-0.003922,
0.001062,
0.004966,
0.007102,
0.007256,
0.005773,
0.003277,
0.000189,
-0.003438,
-0.007686,
-0.012365,
-0.016809,
-0.01991,
-0.020205,
-0.016051,
-0.006179,
0.009497,
0.029476,
0.050861,
0.070053,
0.083759,
0.089948,
0.088381,
0.080503,
0.068822,
0.056133,
0.045026,
0.037871,
0.035023,
0.036914,
0.04323,
0.053074,
0.065377,
0.079158,
0.093355,
0.106571,
0.117228,
0.124075,
0.126455,
0.124355,
0.11845,
0.110085,
0.101,
0.093016,
0.087819,
0.086672,
0.089912,
0.096618,
0.104883,
0.112571,
0.118102,
0.120776,
0.120801,
0.119157,
0.117222,
0.11618,
0.11653,
0.118044,
0.119994,
0.121538,
0.122084,
0.121626,
0.120869,
0.120879,
0.122325,
0.125064,
0.128305,
0.131006,
0.132027,
0.130167,
0.124426,
0.114261,
0.099535,
0.080302,
0.056803,
0.029775,
0.000567,
-0.029023,
-0.056871,
-0.080549,
-0.09773,
-0.10698,
-0.108204,
-0.102436,
-0.091553,
-0.078227,
-0.065837,
-0.057834,
-0.056762,
-0.063671,
-0.077923,
-0.097285,
-0.118321,
-0.137048,
-0.149841,
-0.154357,
-0.150185,
-0.139102,
-0.124767,
-0.111642,
-0.103594,
-0.102666,
-0.108701,
-0.119875,
-0.133539,
-0.146873,
-0.157304,
-0.162846,
-0.162625,
-0.157086,
-0.147565,
-0.135685,
-0.122871,
-0.110145,
-0.098181,
-0.087231,
-0.077036,
-0.066778,
-0.055373,
-0.042178,
-0.027631,
-0.013294,
-0.001327,
0.006271,
0.008198,
0.004653,
-0.002796,
-0.011841,
-0.020047,
-0.025485,
-0.027236,
-0.025714,
-0.022482,
-0.019529,
-0.01854,
-0.020571,
-0.026104,
-0.035125,
-0.047196,
-0.061548,
-0.07696,
-0.0916,
-0.103249,
-0.109807,
-0.109771,
-0.102541,
-0.088566,
-0.06933,
-0.046979,
-0.0238,
-0.001919,
0.016703,
0.030318,
0.03766,
0.038305,
0.032734,
0.022049,
0.00773,
-0.008568,
-0.025124,
-0.040305,
-0.052756,
-0.061488,
-0.065843,
-0.06555,
-0.060914,
-0.052935,
-0.043217,
-0.033887,
-0.027403,
-0.025971,
-0.030846,
-0.041862,
-0.057441,
-0.075078,
-0.091982,
-0.105743,
-0.114835,
-0.118761,
-0.117811,
-0.112775,
-0.104744,
-0.094914,
-0.084311,
-0.073588,
-0.063163,
-0.053634,
-0.045937,
-0.041211,
-0.040448,
-0.044027,
-0.051364,
-0.060783,
-0.069806,
-0.075854,
-0.076967,
-0.072429,
-0.063213,
-0.051985,
-0.042294,
-0.037019,
-0.036906,
-0.040336,
-0.044279,
-0.045642,
-0.073913,
-0.033112,
-0.018743,
-0.000664,
0.018742,
0.036522,
0.049523,
0.055156,
0.052254,
0.073188,
0.024617,
0.005116,
-0.013095,
-0.095387,
-0.097748,
-0.023909,
-0.00913,
0.010903,
0.031135,
0.04654,
0.053598,
0.05112,
0.040469,
0.025159,
0.009888,
-0.000859,
-0.036345,
-0.000177,
0.009021,
0.01891,
0.089663,
0.104015,
0.073789,
-0.016702,
-0.045816,
-0.074348,
-0.133689,
-0.145555,
-0.135956,
-0.087089,
-0.062875,
-0.035797,
-0.011128,
0.006971,
0.016305,
0.016814,
0.010224,
-0.000653,
-0.012584,
-0.022378,
-0.027375,
-0.026079,
-0.018405,
-0.005297,
0.012032,
0.03269,
0.056374,
0.083429,
0.114813,
0.15192,
0.196267,
0.248998,
0.310264,
0.378592,
0.45059,
0.521428,
0.585644,
0.676441,
0.720152,
0.739423,
0.730911,
0.726188,
0.659422,
0.514637,
0.434445,
0.352077,
0.242505,
0.169512,
0.116522,
0.107941,
0.078412,
0.05937,
0.048804,
0.045445,
0.048996,
0.059725,
0.077586,
0.10155,
0.12948,
0.158325,
0.184439,
0.204104,
0.21452,
0.214725,
0.205885,
0.190859,
0.173397,
0.157238,
0.145132,
0.138022,
0.134989,
0.133904,
0.132255,
0.127737,
0.118856,
0.105562,
0.089322,
0.072457,
0.057336,
0.045926,
0.039677,
0.039473,
0.045511,
0.05714,
0.072776,
0.089923,
0.105547,
0.116835,
0.121993,
0.120584,
0.11353,
0.102912,
0.091578,
0.082538,
0.07825,
0.080061,
0.08792,
0.100479,
0.115499,
0.130292,
0.14219,
0.148944,
0.149037,
0.141953,
0.128439,
0.110467,
0.09087,
0.072725,
0.058736,
0.05086,
0.050006,
0.055947,
0.067531,
0.083,
0.100368,
0.117841,
0.134052,
0.148089,
0.159363,
0.16752,
0.172489,
0.174446,
0.173857,
0.171605,
0.168976,
0.167196,
0.166734,
0.166952,
0.166394,
0.1635,
0.15747,
0.180495,
0.139989,
0.133801,
0.054416,
0.059399,
0.154735,
0.174215,
0.225396,
0.274273,
0.226424,
0.233256,
0.235406,
0.235616,
0.236335,
0.238391,
0.240779,
0.241359,
0.237845,
0.228606,
0.213306,
0.193179,
0.170621,
0.14829,
0.128355,
0.112261,
0.100497,
0.092319,
0.086042,
0.07999,
0.073352,
0.066262,
0.05941,
0.053686,
0.049831,
0.047709,
0.045819,
0.04171,
0.032989,
0.01817,
-0.002886,
-0.028731,
-0.056389,
-0.082171,
-0.102899,
-0.116791,
-0.123705,
-0.124788,
-0.12185,
-0.116829,
-0.111341,
-0.106467,
-0.102833,
-0.100766,
-0.100349,
-0.1015,
-0.10407,
-0.107869,
-0.11256,
-0.117525,
-0.121947,
-0.125131,
-0.126645,
-0.126221,
-0.123663,
-0.118902,
-0.112129,
-0.103826,
-0.094724,
-0.085808,
-0.078169,
-0.072649,
-0.069598,
-0.069025,
-0.070852,
-0.074961,
-0.081095,
-0.088962,
-0.098344,
-0.108957,
-0.120173,
-0.131024,
-0.14054,
-0.148035,
-0.153085,
-0.155363,
-0.154665,
-0.151046,
-0.144785,
-0.13633,
-0.126307,
-0.115526,
-0.104796,
-0.094764,
-0.085861,
-0.078369,
-0.072317,
-0.067315,
-0.062609,
-0.057412,
-0.051343,
-0.04469,
-0.038352,
-0.033581,
-0.031604,
-0.033251,
-0.038647,
-0.047148,
-0.057553,
-0.068349,
-0.077918,
-0.084748,
-0.087672,
-0.086147,
-0.080317,
-0.070853,
-0.058724,
-0.045033,
-0.031,
-0.017966,
-0.007208,
0.00025,
0.003842,
0.003558,
-0.000085,
-0.006151,
-0.013513,
-0.021121,
-0.028043,
-0.033502,
-0.03704,
-0.038667,
-0.038835,
-0.03828,
-0.037836,
-0.038309,
-0.04026,
-0.043824,
-0.048691,
-0.054283,
-0.059979,
-0.065302,
-0.0699,
-0.073331,
-0.075003,
-0.074378,
-0.071253,
-0.065853,
-0.058761,
-0.05084,
-0.043054,
-0.036246,
-0.031034,
-0.027846,
-0.026831,
-0.027727,
-0.029899,
-0.032667,
-0.03563,
-0.038588,
-0.041294,
-0.043397,
-0.044535,
-0.044511,
-0.043408,
-0.041658,
-0.03998,
-0.039119,
-0.03959,
-0.04169,
-0.045653,
-0.051633,
-0.059496,
-0.068693,
-0.07839,
-0.087738,
-0.096046,
-0.102921,
-0.108406,
-0.112945,
-0.117101,
-0.121273,
-0.125586,
-0.129957,
-0.134098,
-0.137514,
-0.139729,
-0.140561,
-0.1402,
-0.139134,
-0.137945,
-0.137023,
-0.136284,
-0.135159,
-0.133034,
-0.129718,
-0.125479,
-0.120759,
-0.115862,
-0.110866,
-0.105558,
-0.099398,
-0.091689,
-0.081755,
-0.068929,
-0.052376,
-0.031074,
-0.003894,
0.030396,
0.073026,
0.124808,
0.185348,
0.25217,
0.320367,
0.383186,
0.479591,
0.564345,
0.586314,
0.557104,
0.45429,
0.343109,
0.267588,
0.187948,
0.112025,
0.00968,
-0.044014,
-0.077189,
-0.068822,
-0.083031,
-0.089863,
-0.092501,
-0.093677,
-0.095267,
-0.098243,
-0.102894,
-0.108938,
-0.115565,
-0.121691,
-0.126347,
-0.128933,
-0.129241,
-0.127508,
-0.124505,
-0.121463,
-0.119715,
-0.120261,
-0.123516,
-0.129257,
-0.136096,
-0.143125,
-0.149891,
-0.156028,
-0.161585,
-0.166719,
-0.171375,
-0.175098,
-0.176994,
-0.175966,
-0.171148,
-0.162395,
-0.150511,
-0.137143,
-0.124412,
-0.114433,
-0.108871,
-0.10852,
-0.113025,
-0.12097,
-0.130315,
-0.138962,
-0.145159,
-0.147722,
-0.146163,
-0.14077,
-0.132445,
-0.122353,
-0.111641,
-0.101384,
-0.092368,
-0.084706,
-0.07782,
-0.070931,
-0.063609,
-0.05609,
-0.049235,
-0.04423,
-0.042157,
-0.043581,
-0.048261,
-0.055045,
-0.062087,
-0.067379,
-0.069319,
-0.0671,
-0.060795,
-0.051217,
-0.039587,
-0.027107,
-0.014639,
-0.002745,
0.008171,
0.017831,
0.026141,
0.033133,
0.038859,
0.043404,
0.046918,
0.049585,
0.051619,
0.053317,
0.055006,
0.056951,
0.05935,
0.062402,
0.066264,
0.070866,
0.075815,
0.080469,
0.084194,
0.086628,
0.087832,
0.088222,
0.088368,
0.088793,
0.089783,
0.091113,
0.091818,
0.090439,
0.085697,
0.077049,
0.064852,
0.050271,
0.035027,
0.020882,
0.00905,
-0.000144,
-0.007163,
-0.012997,
-0.018866,
-0.025802,
-0.034178,
-0.043493,
-0.052617,
-0.060378,
-0.066094,
-0.069882,
-0.07257,
-0.07525,
-0.078826,
-0.08381,
-0.090203,
-0.097401,
-0.104312,
-0.109759,
-0.112888,
-0.113353,
-0.111322,
-0.107361,
-0.102212,
-0.096501,
-0.090652,
-0.085187,
-0.080965,
-0.078962,
-0.079867,
-0.083866,
-0.090598,
-0.099145,
-0.108111,
-0.11596,
-0.121483,
-0.124074,
-0.12386,
-0.121622,
-0.118444,
-0.115253,
-0.112484,
-0.110185,
-0.108247,
-0.106523,
-0.104879,
-0.103234,
-0.101527,
-0.099671,
-0.097666,
-0.095787,
-0.094516,
-0.094263,
-0.095147,
-0.096948,
-0.099128,
-0.10086,
-0.101178,
-0.099367,
-0.095308,
-0.089517,
-0.082913,
-0.076537,
-0.071299,
-0.067668,
-0.065516,
-0.064292,
-0.063416,
-0.062564,
-0.061651,
-0.060694,
-0.059762,
-0.05895,
-0.058339,
-0.05797,
-0.057906,
-0.058301,
-0.059372,
-0.061304,
-0.06421,
-0.068081,
-0.072696,
-0.077577,
-0.082115,
-0.085836,
-0.088565,
-0.090347,
-0.091233,
-0.091176,
-0.090106,
-0.088073,
-0.085285,
-0.082076,
-0.078818,
-0.075783,
-0.073086,
-0.070713,
-0.068624,
-0.066763,
-0.065015,
-0.063276,
-0.061606,
-0.060325,
-0.059905,
-0.060755,
-0.063042,
-0.066637,
-0.071099,
-0.075773,
-0.080064,
-0.083656,
-0.086441,
-0.088342,
-0.08931,
-0.089374,
-0.088531,
-0.086594,
-0.083239,
-0.078276,
-0.071797,
-0.064121,
-0.055727,
-0.047314,
-0.039739,
-0.033739,
-0.02973,
-0.027818,
-0.027881,
-0.029572,
-0.032349,
-0.035634,
-0.039,
-0.042256,
-0.045403,
-0.048612,
-0.052263,
-0.056831,
-0.06262,
-0.069561,
-0.077174,
-0.084684,
-0.091201,
-0.095927,
-0.098361,
-0.098416,
-0.096335,
-0.09245,
-0.086996,
-0.080076,
-0.071728,
-0.062035,
-0.051263,
-0.039969,
-0.028989,
-0.019218,
-0.011369,
-0.005829,
-0.002668,
-0.001599,
-0.001902,
-0.002543,
-0.002526,
-0.00121,
0.00167,
0.006148,
0.012236,
0.020049,
0.02986,
0.042111,
0.057408,
0.07651,
0.100368,
0.130125,
0.166853,
0.211083,
0.262244,
0.318337,
0.375992,
0.430841,
0.508288,
0.586513,
0.612121,
0.576548,
0.549078,
0.471823,
0.421023,
0.362104,
0.300618,
0.241552,
0.188719,
0.144566,
0.110165,
0.085236,
0.068275,
0.057044,
0.049218,
0.042897,
0.036881,
0.030737,
0.024677,
0.019301,
0.015231,
0.01278,
0.011852,
0.012012,
0.012599,
0.012865,
0.012172,
0.010236,
0.007226,
0.003578,
-0.000309,
-0.00426,
-0.00828,
-0.012489,
-0.01708,
-0.022139,
-0.027449,
-0.032453,
-0.036436,
-0.038723,
-0.038792,
-0.036407,
-0.031773,
-0.025581,
-0.01877,
-0.012192,
-0.006451,
-0.001905,
0.001397,
0.00376,
0.00571,
0.007766,
0.010274,
0.013393,
0.017119,
0.021223,
0.025294,
0.028918,
0.031811,
0.033786,
0.034694,
0.034535,
0.033629,
0.032556,
0.032001,
0.032633,
0.035007,
0.039363,
0.045427,
0.052491,
0.059771,
0.066628,
0.072624,
0.077589,
0.081707,
0.085442,
0.089314,
0.093701,
0.098827,
0.10478,
0.111541,
0.11906,
0.127328,
0.136352,
0.146045,
0.156137,
0.166153,
0.175485,
0.183527,
0.189875,
0.194461,
0.197516,
0.199443,
0.200714,
0.201726,
0.202736,
0.203859,
0.205154,
0.206658,
0.208364,
0.210234,
0.212277,
0.214586,
0.21721,
0.219973,
0.22243,
0.223999,
0.224122,
0.22242,
0.218822,
0.213617,
0.207361,
0.200708,
0.19429,
0.188502,
0.183289,
0.178107,
0.172098,
0.164314,
0.153926,
0.140491,
0.12419,
0.105814,
0.086499,
0.067455,
0.049827,
0.034597,
0.022411,
0.013475,
0.007574,
0.004154,
0.002391,
0.001313,
0.000025,
-0.002071,
-0.005225,
-0.009453,
-0.014617,
-0.020468,
-0.026668,
-0.03286,
-0.038751,
-0.044098,
-0.048597,
-0.051849,
-0.053523,
-0.053611,
-0.052525,
-0.051001,
-0.049853,
-0.049665,
-0.050559,
-0.052177,
-0.0539,
-0.055203,
-0.055852,
-0.055914,
-0.055654,
-0.055469,
-0.055779,
-0.05682,
-0.058517,
-0.060606,
-0.062845,
-0.065171,
-0.067766,
-0.070994,
-0.07523,
-0.080573,
-0.086654,
-0.092745,
-0.097991,
-0.101653,
-0.103293,
-0.102923,
-0.100984,
-0.098155,
-0.095137,
-0.092576,
-0.090981,
-0.090603,
-0.091393,
-0.093104,
-0.095436,
-0.098106,
-0.100806,
-0.103231,
-0.10519,
-0.106642,
-0.107657,
-0.108398,
-0.109158,
-0.110319,
-0.112175,
-0.114783,
-0.117981,
-0.121534,
-0.125225,
-0.128885,
-0.132418,
-0.135847,
-0.139257,
-0.142691,
-0.146171,
-0.149768,
-0.153544,
-0.157436,
-0.161275,
-0.164924,
-0.168305,
-0.17134,
-0.174016,
-0.176486,
-0.179054,
-0.182042,
-0.185649,
-0.189855,
-0.194303,
-0.198285,
-0.20105,
-0.202217,
-0.201958,
-0.20092,
-0.200092,
-0.200651,
-0.203624,
-0.209463,
-0.217873,
-0.227947,
-0.23834,
-0.247492,
-0.254021,
-0.257254,
-0.257359,
-0.255032,
-0.251149,
-0.2466,
-0.242127,
-0.238118,
-0.234543,
-0.231159,
-0.227746,
-0.224182,
-0.22047,
-0.216859,
-0.213899,
-0.212259,
-0.212359,
-0.214167,
-0.217254,
-0.220946,
-0.224458,
-0.22705,
-0.228186,
-0.22766,
-0.225694,
-0.222952,
-0.220382,
-0.218889,
-0.21908,
-0.220505,
-0.223526,
-0.228434,
-0.235065,
-0.243222,
-0.252666,
-0.263047,
-0.273856,
-0.284454,
-0.294151,
-0.3023,
-0.308425,
-0.312365,
-0.314334,
-0.314927,
-0.31498,
-0.315289,
-0.316348,
-0.318293,
-0.320987,
-0.324039,
-0.326793,
-0.328495,
-0.328649,
-0.327181,
-0.324317,
-0.320428,
-0.315983,
-0.311448,
-0.307105,
-0.302964,
-0.298822,
-0.294346,
-0.289,
-0.281998,
-0.272407,
-0.25934,
-0.242084,
-0.220099,
-0.192888,
-0.159869,
-0.12033,
-0.073535,
-0.019023,
0.04294,
0.110764,
0.181067,
0.248723,
0.342882,
0.438076,
0.47823,
0.474178,
0.428315,
0.330024,
0.227151,
0.153111,
